index,name,isin,url,keyword,sheet
6,Fundsmith Equity T Acc,GB00B4Q5X527,https://www.ii.co.uk/funds/fundsmith-equity-t-acc/B4Q5X52,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
11,Vanguard FTSE Global All Cp Idx £ Acc,GB00BD3RZ582,https://www.ii.co.uk/funds/vanguard-ftse-global-all-cp-idx-acc/BD3RZ58,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
16,abrdn Liquidity-Sterling Fund A-2 AccGBP,LU0049015760,https://www.ii.co.uk/funds/abrdn-liquidity-sterling-fund-a-2-accgbp/0234081,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
21,Vanguard U.S. Eq Idx £ Acc,GB00B5B71Q71,https://www.ii.co.uk/funds/vanguard-us-eq-idx-acc/B5B71Q7,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
26,abrdn UK All Share Tracker B Acc,GB00B76B9Y24,https://www.ii.co.uk/funds/abrdn-uk-all-share-tracker-b-acc/B76B9Y2,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
31,abrdn UK Equity Enhanced Index B Acc,GB00BRJL8531,https://www.ii.co.uk/funds/abrdn-uk-equity-enhanced-index-b-acc/BRJL853,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
36,abrdn American Equity Enh Index N Acc,GB00BDFZ7545,https://www.ii.co.uk/funds/abrdn-american-equity-enh-index-n-acc/BDFZ754,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
41,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,GB00B59G4Q73,https://www.ii.co.uk/funds/vanguard-ftse-dev-wld-ex-uk-eq-idx-acc/B59G4Q7,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
46,abrdn Global Inflat-Link Bond Trkr N Acc,GB00BDFZ6L30,https://www.ii.co.uk/funds/abrdn-global-inflat-link-bond-trkr-n-acc/BDFZ6L3,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
51,L&G International Index R Acc,GB00B2Q6HT33,https://www.ii.co.uk/funds/lg-international-index-r-acc/B2Q6HT3,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
56,Fidelity Global Dividend W Acc,GB00B7GJPN73,https://www.ii.co.uk/funds/fidelity-global-dividend-w-acc/B7GJPN7,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
61,Artemis SmartGARP European Eq IH Acc GBP,GB00BR4TV191,https://www.ii.co.uk/funds/artemis-smartgarp-european-eq-ih-acc-gbp/BR4TV19,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
66,Fidelity Global Technology W-Acc-GBP,LU1033663649,https://www.ii.co.uk/funds/fidelity-global-technology-w-acc-gbp/BJVDZ16,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
71,Fidelity Index Emerging Markets P Acc,GB00BHZK8D21,https://www.ii.co.uk/funds/fidelity-index-emerging-markets-p-acc/BHZK8D2,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
76,Artemis US Smaller Companies I Acc GBP H,GB00BK6RLD43,https://www.ii.co.uk/funds/artemis-us-smaller-companies-i-acc-gbp-h/BK6RLD4,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
81,Vanguard FTSE Dev €pe ex-UK Eq Idx £ Acc,GB00B5B71H80,https://www.ii.co.uk/funds/vanguard-ftse-dev-pe-ex-uk-eq-idx-acc/B5B71H8,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
86,Jupiter Gold & Silver I GBP Acc,IE00BYVJRH94,https://www.ii.co.uk/funds/jupiter-gold-silver-i-gbp-acc/BYVJRH9,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
91,HSBC FTSE 250 Index S Acc,GB00BV8VN686,https://www.ii.co.uk/funds/hsbc-ftse-250-index-s-acc/BV8VN68,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
96,Artemis UK Select R Acc,GB0002583267,https://www.ii.co.uk/funds/artemis-uk-select-r-acc/0258326,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
101,L&G Cash Trust I Acc,GB00B0CNHB64,https://www.ii.co.uk/funds/lg-cash-trust-i-acc/B0CNHB6,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
106,HSBC FTSE 100 Index Accumulation C,GB00B80QFR50,https://www.ii.co.uk/funds/hsbc-ftse-100-index-accumulation-c/B80QFR5,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
111,Vanguard Stlg S/T Mny Mkts A GBP Acc,GB00BFYDWM59,https://www.ii.co.uk/funds/vanguard-stlg-st-mny-mkts-a-gbp-acc/BFYDWM5,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
116,iShares Japan Equity Index (UK) D Acc,GB00B6QQ9X96,https://www.ii.co.uk/funds/ishares-japan-equity-index-uk-d-acc/B6QQ9X9,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
121,Jupiter Asian Income I GBP Acc,GB00BZ2YND85,https://www.ii.co.uk/funds/jupiter-asian-income-i-gbp-acc/BZ2YND8,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
126,L&G UK Index I Acc,GB00B0CNGN12,https://www.ii.co.uk/funds/lg-uk-index-i-acc/B0CNGN1,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
131,Baillie Gifford China B Acc,GB00B39RMM81,https://www.ii.co.uk/funds/baillie-gifford-china-b-acc/B39RMM8,"You can hold this fund in a SIPP, ISA, JISA and Trading Account",MF
