index,name,isin,url,keyword,sheet
5,F&C Investment Trust ,GB00BS88V647,https://www.ii.co.uk/investment-trusts/fc-investment-trust-ord/LSE:FCIT,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
10,3i Group ,GB00B1YW4409,https://www.ii.co.uk/investment-trusts/3i-group-ord/LSE:III,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
15,Law Debenture Corporation ,GB0031429219,https://www.ii.co.uk/investment-trusts/law-debenture-corporation-ord/LSE:LWDB,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
20,Fidelity China Special Situations ,GB00B62Z3C74,https://www.ii.co.uk/investment-trusts/fidelity-china-special-situations-ord/LSE:FCSS,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
25,Worldwide Healthcare ,GB00BN455J50,https://www.ii.co.uk/investment-trusts/worldwide-healthcare-ord/LSE:WWH,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
30,Seraphim Space Investment Trust ,GB00BKPG0138,https://www.ii.co.uk/investment-trusts/seraphim-space-investment-trust-ord/LSE:SSIT,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
35,AVI Global Trust ,GB00BLH3CY60,https://www.ii.co.uk/investment-trusts/avi-global-trust-ord/LSE:AGT,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
40,International Public Partnerships ,GB00B188SR50,https://www.ii.co.uk/investment-trusts/international-public-partnerships-ord/LSE:INPP,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
45,Gore Street Energy Storage Fund ,GB00BG0P0V73,https://www.ii.co.uk/investment-trusts/gore-street-energy-storage-fund-ord/LSE:GSF,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
50,JPMorgan Japanese ,GB0001740025,https://www.ii.co.uk/investment-trusts/jpmorgan-japanese-ord/LSE:JFJ,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
55,Octopus Renewables Infrastructure ,GB00BJM02935,https://www.ii.co.uk/investment-trusts/octopus-renewables-infrastructure-ord/LSE:ORIT,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
60,JPMorgan China Growth & Income ,GB0003435012,https://www.ii.co.uk/investment-trusts/jpmorgan-china-growth-income-ord/LSE:JCGI,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
65,Lowland ,GB00BNXGHS27,https://www.ii.co.uk/investment-trusts/lowland-ord/LSE:LWI,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
70,Baillie Gifford US Growth ,GB00BDFGHW41,https://www.ii.co.uk/investment-trusts/baillie-gifford-us-growth-ord/LSE:USA,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
75,JPMorgan Asia Growth & Income ,GB0001320778,https://www.ii.co.uk/investment-trusts/jpmorgan-asia-growth-income-ord/LSE:JAGI,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
80,Pantheon International ,GB00BP37WF17,https://www.ii.co.uk/investment-trusts/pantheon-international-ord/LSE:PIN,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
85,STS Global Income & Growth Trust ,GB00B09G3N23,https://www.ii.co.uk/investment-trusts/sts-global-income-growth-trust-ord/LSE:STS,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
90,Polar Capital Glb Healthcare ,GB00B6832P16,https://www.ii.co.uk/investment-trusts/polar-capital-glb-healthcare-ord/LSE:PCGH,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
95,Regional REIT ,GG00BSY2LD72,https://www.ii.co.uk/investment-trusts/regional-reit-ord/LSE:RGL,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
100,Rockwood Strategic ,GB00BRRD5L66,https://www.ii.co.uk/investment-trusts/rockwood-strategic-ord/LSE:RKW,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
105,Baillie Gifford China Growth Trust ,GB0003656021,https://www.ii.co.uk/investment-trusts/baillie-gifford-china-growth-trust-ord/LSE:BGCG,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
110,CT Private Equity Trust ,GB0030738271,https://www.ii.co.uk/investment-trusts/ct-private-equity-trust-ord/LSE:CTPE,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
115,Molten Ventures ,GB00BY7QYJ50,https://www.ii.co.uk/investment-trusts/molten-ventures-ord/LSE:GROW,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
120,Impax Environmental Markets ,GB0031232498,https://www.ii.co.uk/investment-trusts/impax-environmental-markets-ord/LSE:IEM,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
125,Manchester & London ,GB0002258472,https://www.ii.co.uk/investment-trusts/manchester-london-ord/LSE:MNL,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
130,BH Macro GBP ,GG00BQBFY362,https://www.ii.co.uk/investment-trusts/bh-macro-gbp-ord/LSE:BHMG,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
135,Canadian General Investments  GBP,CA1358251074,https://www.ii.co.uk/investment-trusts/canadian-general-investments-ord-gbp/LSE:CGI,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
140,BlackRock American Income Trust ,GB00B7W0XJ61,https://www.ii.co.uk/investment-trusts/blackrock-american-income-trust-ord/LSE:BRAI,"You can hold this investment trust in a SIPP, ISA, JISA and Trading Account",Investment
